Model,Train R2,Test R2,RMSE,MAE,CV Mean R2,CV Std
LinearRegression,0.7907455808555336,0.756310570768052,102.68556000762749,77.4447297412276,0.6851659748797201,0.12115240997331284
RandomForestRegressor,0.9772398064117512,0.8347392285486922,84.56213091989989,60.51228571428571,0.7977658173093155,0.04195392231938056
GradientBoostingRegressor,0.9944193119009798,0.8930770515229858,68.01841282341903,50.68993537685879,0.8352201531627867,0.06553292498455227
