Model,Train R2,Test R2,RMSE,MAE,CV Mean R2,CV Std
LinearRegression,0.8580429314849872,0.8973374379972431,0.2629190182106778,0.18546260123098426,0.7168942068943295,0.15665269171116186
RandomForestRegressor,0.9547546577084719,0.7612278082242624,0.40096625640508704,0.2922244897959182,0.6838515676078606,0.09009220588458001
GradientBoostingRegressor,0.9862841204329486,0.8099441609797272,0.3577309873633949,0.27691381160798706,0.7131020288619501,0.06877806264134541
